# z         nHI/nH      nHeI/nH      nHeII/nH      T_0(K)
6.000001 1.000000e+00 7.894737e-02 0.000000e+00 2.500000e+01
5.938775 1.516795e-04 2.198241e-05 7.820417e-02 1.639399e+04
5.878864 1.505651e-04 2.088208e-05 7.750126e-02 1.629900e+04
5.820223 1.447353e-04 1.984948e-05 7.682217e-02 1.622365e+04
5.762809 1.426869e-04 1.883930e-05 7.612984e-02 1.616977e+04
5.706583 1.374000e-04 1.788032e-05 7.542736e-02 1.613499e+04
5.651504 1.328325e-04 1.697840e-05 7.472836e-02 1.611547e+04
5.597537 1.294393e-04 1.614585e-05 7.405797e-02 1.610598e+04
5.544644 1.282748e-04 1.535938e-05 7.341038e-02 1.610589e+04
5.492793 1.234727e-04 1.459822e-05 7.275294e-02 1.611773e+04
5.441951 1.177286e-04 1.386676e-05 7.207141e-02 1.614215e+04
5.392086 1.128253e-04 1.316325e-05 7.135580e-02 1.617927e+04
5.343169 1.101131e-04 1.250815e-05 7.066963e-02 1.622102e+04
5.295171 1.079500e-04 1.189168e-05 7.000786e-02 1.626743e+04
5.248066 1.013449e-04 1.130862e-05 6.935732e-02 1.631941e+04
5.201825 9.631025e-05 1.075023e-05 6.869807e-02 1.637852e+04
5.156425 9.287979e-05 1.021438e-05 6.801572e-02 1.644567e+04
5.111841 9.161293e-05 9.702041e-06 6.731589e-02 1.651965e+04
5.068050 8.555731e-05 9.214720e-06 6.660186e-02 1.659964e+04
5.025029 8.145632e-05 8.757573e-06 6.590514e-02 1.668178e+04
4.982757 7.925021e-05 8.324561e-06 6.521549e-02 1.676687e+04
4.941213 7.659750e-05 7.909358e-06 6.450766e-02 1.685717e+04
4.900377 7.272999e-05 7.512304e-06 6.377258e-02 1.695328e+04
4.860230 7.013652e-05 7.130884e-06 6.299795e-02 1.705602e+04
4.820753 6.848578e-05 6.767484e-06 6.221227e-02 1.716194e+04
4.781929 6.276005e-05 6.424509e-06 6.143767e-02 1.726855e+04
4.743741 6.062981e-05 6.100345e-06 6.066735e-02 1.737632e+04
4.706171 5.946212e-05 5.793752e-06 5.989776e-02 1.748545e+04
4.669204 5.502793e-05 5.501545e-06 5.911037e-02 1.759765e+04
4.632825 5.336025e-05 5.221931e-06 5.829811e-02 1.771328e+04
4.597019 5.200930e-05 4.953845e-06 5.746073e-02 1.783210e+04
4.561771 4.978094e-05 4.697514e-06 5.659852e-02 1.795375e+04
4.527068 4.882262e-05 4.453779e-06 5.573724e-02 1.807537e+04
4.492895 4.623038e-05 4.223730e-06 5.488597e-02 1.819596e+04
4.459241 4.462152e-05 4.005369e-06 5.402675e-02 1.831720e+04
4.426092 4.354582e-05 3.797436e-06 5.315187e-02 1.843965e+04
4.393437 4.167690e-05 3.599165e-06 5.225160e-02 1.856411e+04
4.361263 4.115398e-05 3.409307e-06 5.131981e-02 1.869087e+04
4.329561 3.835985e-05 3.227613e-06 5.037318e-02 1.881802e+04
4.298317 3.750667e-05 3.054680e-06 4.942939e-02 1.894367e+04
4.267522 3.555392e-05 2.891298e-06 4.848791e-02 1.906780e+04
4.237166 3.463337e-05 2.736738e-06 4.754739e-02 1.919046e+04
4.207239 3.316584e-05 2.590408e-06 4.660612e-02 1.931172e+04
4.177731 3.219164e-05 2.451412e-06 4.564911e-02 1.943294e+04
4.148632 3.116251e-05 2.318827e-06 4.467760e-02 1.955377e+04
4.119933 3.015601e-05 2.191964e-06 4.368870e-02 1.967438e+04
4.091627 2.932801e-05 2.070782e-06 4.268336e-02 1.979441e+04
4.063703 2.840975e-05 1.954936e-06 4.167942e-02 1.991200e+04
4.036155 2.723259e-05 1.845127e-06 4.068821e-02 2.002603e+04
4.008973 2.668724e-05 1.741608e-06 3.970522e-02 2.013690e+04
3.982150 2.515851e-05 1.643786e-06 3.871936e-02 2.024565e+04
3.955679 2.493499e-05 1.550843e-06 3.773188e-02 2.035201e+04
3.929552 2.328798e-05 1.462867e-06 3.673371e-02 2.045684e+04
3.903762 2.319867e-05 1.378886e-06 3.572589e-02 2.055981e+04
3.878302 2.148523e-05 1.298718e-06 3.471855e-02 2.065986e+04
3.853165 2.108617e-05 1.222444e-06 3.372053e-02 2.075614e+04
3.828345 1.942175e-05 1.150478e-06 3.273284e-02 2.084853e+04
3.803836 1.894182e-05 1.082469e-06 3.175757e-02 2.093684e+04
3.779630 1.879066e-05 1.018310e-06 3.079548e-02 2.102099e+04
3.755722 1.785189e-05 9.579425e-07 2.984173e-02 2.110147e+04
3.732107 1.690682e-05 9.009060e-07 2.889357e-02 2.117851e+04
3.708778 1.643985e-05 8.467655e-07 2.795200e-02 2.125195e+04
3.685730 1.599296e-05 7.954696e-07 2.701435e-02 2.132205e+04
3.662958 1.556336e-05 7.467758e-07 2.608242e-02 2.138854e+04
3.640455 1.514369e-05 7.003807e-07 2.516512e-02 2.145059e+04
3.618218 1.473414e-05 6.564367e-07 2.427092e-02 2.150749e+04
3.596241 1.434069e-05 6.152294e-07 2.340002e-02 2.155928e+04
3.574519 1.396727e-05 5.767040e-07 2.254622e-02 2.160665e+04
3.553048 1.360859e-05 5.404387e-07 2.170932e-02 2.164963e+04
3.531823 1.326453e-05 5.063189e-07 2.088921e-02 2.168826e+04
3.510839 1.293763e-05 4.743078e-07 2.008296e-02 2.172289e+04
3.490091 1.262243e-05 4.440738e-07 1.929177e-02 2.175338e+04
3.469577 1.231556e-05 4.154612e-07 1.851884e-02 2.177952e+04
3.449291 1.201651e-05 3.884543e-07 1.776710e-02 2.180112e+04
3.429229 1.172813e-05 3.631146e-07 1.703699e-02 2.181819e+04
3.409388 1.144868e-05 3.393279e-07 1.632999e-02 2.183073e+04
3.389763 1.117868e-05 3.170538e-07 1.564663e-02 2.183877e+04
